Purchase date,Purchase time,order type,purchase type,order ID,brand name,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
10/3/2021,10/3/2021 13:05,배달,CHECK,2ALSG0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"26,400","23,400","26,400",0,0,"3,510",702,"6,000","1,000","5,000","2,727","3,000","6,237","3,975",397,"4,372",0,0,0,"19,028"
10/3/2021,10/3/2021 15:16,배달,CREDIT,0RBDR0,,다이어트랩,PAY,벌크업 소고기 스테이크 KIT,"20,900","17,900","20,900",0,0,"2,685",537,"6,000","1,000","5,000","2,727","3,000","5,412","3,810",381,"4,191",0,0,0,"13,709"
10/3/2021,10/3/2021 16:32,배달,CREDIT,2R2BR0,,다이어트랩,PAY,단호박 (120g)x6,"21,000","18,000","21,000",0,0,"2,700",540,"6,000","1,000","5,000","2,727","3,000","5,427","3,813",381,"4,194",0,0,0,"13,806"
10/3/2021,10/3/2021 19:10,배달,CREDIT,0LK0R0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"26,300","23,300","26,300",0,0,"3,495",699,"6,000","1,000","5,000","2,727","3,000","6,222","3,972",397,"4,369",0,0,0,"18,931"
10/3/2021,10/3/2021 20:41,배달,CREDIT,17NB00,,다이어트랩,PAY,REAL VEGETARIAN KIT (채식)x2,"19,000","16,000","19,000",0,0,"2,400",480,"6,000","1,000","5,000","2,727","3,000","5,127","3,753",375,"4,128",0,0,0,"11,872"
10/3/2021,10/3/2021 22:31,배달,CREDIT,0Y20G0,,다이어트랩,PAY,"OP VANI'BLUE (ICE) 바닐라  블루베리 프로틴x2, 벌크업 소고기 스테이크 KIT, 직접 구운계란 (모두가 아는 찜질방 그 맛)","28,900","25,900","28,900",0,0,"3,885",777,"6,000","1,000","5,000","2,727","3,000","6,612","4,050",405,"4,455",0,0,0,"21,445"
10/4/2021,10/4/2021 10:34,배달,CREDIT,04MFG0,,다이어트랩,PAY,"브로콜리 50gx2, 직접 구운계란 (모두가 아는 찜질방 그 맛), GO단백 닭가슴살 KIT","19,800","16,800","19,800",0,0,"2,520",504,"6,000","1,000","5,000","2,727","3,000","5,247","3,777",377,"4,154",0,0,0,"12,646"
10/4/2021,10/4/2021 11:00,배달,CHECK,1L97R0,,다이어트랩,PAY,"핸드드립 아메리카노, 고구마 (180g), GO단백 닭가슴살 스테이크 KIT","35,200","32,200","35,200",0,0,"4,830",966,"6,000","1,000","5,000","2,727","3,000","7,557","4,239",424,"4,663",0,0,0,"27,537"
10/4/2021,10/4/2021 11:45,배달,CHECK,1RKC80,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, OP CHOCO (ICE) 초코 프로틴","35,400","32,400","35,400",0,0,"4,860",972,"6,000","1,000","5,000","2,727","3,000","7,587","4,245",424,"4,669",0,0,0,"27,731"
10/4/2021,10/4/2021 12:28,배달,CHECK,2KY780,,다이어트랩,PAY,"수제 디톡스 파인애플 에이드 (ICE), GO단백 닭가슴살 스테이크 KIT","18,000","15,000","18,000",0,0,"2,250",450,"6,000","1,000","5,000","2,727","3,000","4,977","3,723",372,"4,095",0,0,0,"10,905"
