거래일,거래일시,결제유형,주문아이디,브랜드명,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,정산금액
,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,
2021-04-12,2021-04-12 15:42,CREDIT,0FDHG0,,다이어트랩,PAY,"연어 스테이크 KIT, GO단백 닭가슴살 스테이크 KIT, 벌크업 소고기 스테이크 KIT, 탄수화물 에너지 KIT","36,400","33,400","36,400",0,0,"5,010","1,002","6,000","1,000","5,000","2,727","3,000","7,737","4,275",427,"4,702","28,698"
2021-04-12,2021-04-12 18:32,CREDIT,2E8JG0,,다이어트랩,PAY,"연어 스테이크 KIT, GO단백 닭가슴살 스테이크 KIT","26,000","23,000","26,000",0,0,"3,450",690,"6,000","1,000","5,000","2,727","3,000","6,177","3,963",396,"4,359","18,641"
2021-04-13,2021-04-13 10:43,CREDIT,1URTG0,,다이어트랩,PAY,"(5KIT 선택) only 다이어트 다섯끼 식단, 더블 단백질 2 (닭가슴살  닭가슴살 소시지) KIT","49,000","46,000","49,000",0,0,"6,900","1,380","6,000","1,000","5,000","2,727","3,000","9,627","4,653",465,"5,118","40,882"
2021-04-13,2021-04-13 11:54,CHECK,2BA5R0,,다이어트랩,PAY,"OP CHO'COF (ICE) 초코커피 프로틴, 더블 단백질 2 (닭가슴살  닭가슴살 소시지) KIT, GO단백 닭가슴살 스테이크 KIT, 핸드드립 아메리카노","33,000","30,000","33,000",0,0,"4,500",900,"6,000","1,000","5,000","2,727","3,000","7,227","4,173",417,"4,590","25,410"
2021-04-13,2021-04-13 12:22,CREDIT,1GHSR0,,다이어트랩,PAY,"벌크업 소고기 스테이크 KITx2, 고구마 (180g), 브로콜리 50g, 미니양배추 50g, GO단백 닭가슴살 KIT, 직접 구운계란 (모두가 아는 찜질방 그 맛)","37,400","34,400","37,400",0,0,"5,160","1,032","6,000","1,000","5,000","2,727","3,000","7,887","4,305",430,"4,735","29,665"
2021-04-13,2021-04-13 14:41,CHECK,0SEUG0,,다이어트랩,PAY,"OP CHOCO (ICE) 초코 프로틴, GO단백 닭가슴살 소시지 KIT, 대추 토마토x2","31,400","28,400","31,400",0,0,"4,260",852,"6,000","1,000","5,000","2,727","3,000","6,987","4,125",412,"4,537","23,863"
2021-04-13,2021-04-13 18:44,CREDIT,0MF080,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, GO단백 닭가슴살 스테이크 KIT","23,500","20,500","23,500",0,0,"3,075",615,"6,000","1,000","5,000","2,727","3,000","5,802","3,888",389,"4,277","16,223"
2021-04-14,2021-04-14 12:43,CREDIT,0LD3R0,,다이어트랩,PAY,"GO단백 닭가슴살 KIT, GO단백 닭가슴살 스테이크 KIT, 연어 스테이크 KIT, 미니양배추 50g","39,000","36,000","39,000",0,0,"5,400","1,080","6,000","1,000","5,000","2,727","3,000","8,127","4,353",435,"4,788","31,212"
2021-04-14,2021-04-14 19:06,CHECK,1NM9G0,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, OP CHO'BANA (ICE) 초코바나나 프로틴","32,400","29,400","32,400",0,0,"4,410",882,"6,000","1,000","5,000","2,727","3,000","7,137","4,155",415,"4,570","24,830"
2021-04-14,2021-04-14 20:53,CREDIT,0SDV80,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, OP CHOCO (ICE) 초코 프로틴","34,800","31,800","34,800",0,0,"4,770",954,"6,000","1,000","5,000","2,727","3,000","7,497","4,227",422,"4,649","27,151"
