거래일,거래일시,주문유형,결제유형,주문아이디,브랜드명,상점명,거래유형,주문내역,총금액,주문금액,결제금액,쿠팡부담할인금액,상점부담할인금액,기본요금,,,프로모션요금,,고객부담배달비,고객부담배달비 (총액),프로모션혜택금액,최종요금,,,광고비,,,정산금액
,,,,,,,,,,,,,,서비스수수료,카드수수료 및 결제이용료,배달수수료,주문중개수수료,배달요금,,,,총공급가액,총부가세액,총액,총공급가액,총부가세액,총액,
2021-07-04,2021-07-04 12:44,배달,CREDIT,21W900,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"27,800","24,800","27,800",0,0,"3,720",744,"6,000","1,000","5,000","2,727","3,000","6,447","4,017",401,"4,418",0,0,0,"20,382"
2021-07-04,2021-07-04 12:59,배달,CHECK,221400,,다이어트랩,PAY,"연어 스테이크 KIT, 벌크업 소고기 스테이크 KIT","20,000","17,000","20,000",0,0,"2,550",510,"6,000","1,000","5,000","2,727","3,000","5,277","3,783",378,"4,161",0,0,0,"12,839"
2021-07-04,2021-07-04 14:34,배달,BANK,2SW2R0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"37,400","34,400","37,400",0,0,"5,160","1,032","6,000","1,000","5,000","2,727","3,000","7,887","4,305",430,"4,735",0,0,0,"29,665"
2021-07-04,2021-07-04 20:05,배달,CREDIT,2Y9C80,,다이어트랩,PAY,"OP CHOCO (ICE) 초코 프로틴, GO단백 닭가슴살 스테이크 KIT","18,900","15,900","18,900",0,0,"2,385",477,"6,000","1,000","5,000","2,727","3,000","5,112","3,750",375,"4,125",0,0,0,"11,775"
2021-07-05,2021-07-05 10:37,배달,CREDIT,149980,,다이어트랩,PAY,"수제 디톡스 파인애플 티 (ICE), 연어 스테이크 KIT","21,900","18,900","21,900",0,0,"2,835",567,"6,000","1,000","5,000","2,727","3,000","5,562","3,840",384,"4,224",0,0,0,"14,676"
2021-07-05,2021-07-05 11:10,배달,CREDIT,1AJFG0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx3,"52,200","49,200","52,200",0,0,"7,380","1,476","6,000","1,000","5,000","2,727","3,000","10,107","4,749",475,"5,224",0,0,0,"43,976"
2021-07-05,2021-07-05 11:20,배달,CREDIT,22LHR0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, 연어 스테이크 KIT","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112",0,0,0,"11,388"
2021-07-05,2021-07-05 12:32,배달,CHECK,1DTS80,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"24,900","21,900","24,900",0,0,"3,285",657,"6,000","1,000","5,000","2,727","3,000","6,012","3,930",393,"4,323",0,0,0,"17,577"
2021-07-05,2021-07-05 12:49,배달,CHECK,2EXNG0,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"43,000","40,000","43,000",0,0,"6,000","1,200","6,000","1,000","5,000","2,727","3,000","8,727","4,473",447,"4,920",0,0,0,"35,080"
2021-07-05,2021-07-05 14:27,배달,CREDIT,17XTR0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KIT,"25,700","19,700","25,700",0,0,"2,955",591,"6,000","1,000","5,000","2,727","3,000","5,682","3,864",386,"4,250",0,0,0,"15,450"
2021-07-05,2021-07-05 15:50,배달,CHECK,0R7Y80,,다이어트랩,PAY,"벌크업 소고기 스테이크 KIT, 미니양배추 50g, 벌크업 소고기 단백질 KIT","25,000","19,000","25,000",0,0,"2,850",570,"6,000","1,000","5,000","2,727","3,000","5,577","3,843",384,"4,227",0,0,0,"14,773"
2021-07-05,2021-07-05 18:17,배달,CREDIT,0AJ580,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"28,900","22,900","28,900",0,0,"3,435",687,"6,000","1,000","5,000","2,727","3,000","6,162","3,960",396,"4,356",0,0,0,"18,544"
2021-07-05,2021-07-05 19:11,배달,CREDIT,2GFE80,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), 연어 스테이크 KIT","24,000","21,000","24,000",0,0,"3,150",630,"6,000","1,000","5,000","2,727","3,000","5,877","3,903",390,"4,293",0,0,0,"16,707"
2021-07-05,2021-07-05 20:35,배달,CHECK,16JN00,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"24,900","21,900","24,900",0,0,"3,285",657,"6,000","1,000","5,000","2,727","3,000","6,012","3,930",393,"4,323",0,0,0,"17,577"
2021-07-05,2021-07-05 22:44,배달,CREDIT,15D480,,다이어트랩,PAY,"GO단백 닭가슴살 소시지 KIT, 핸드드립 아메리카노","24,700","21,700","24,700",0,0,"3,255",651,"6,000","1,000","5,000","2,727","3,000","5,982","3,924",392,"4,316",0,0,0,"17,384"
2021-07-06,2021-07-06 10:11,배달,BANK,0P9TR0,,다이어트랩,PAY,(5KIT 선택) only 다이어트 다섯끼 식단,"42,500","39,500","42,500",0,0,"5,925","1,185","6,000","1,000","5,000","2,727","3,000","8,652","4,458",446,"4,904",0,0,0,"34,596"
2021-07-06,2021-07-06 11:07,배달,CHECK,24WFG0,,다이어트랩,PAY,"더블 단백질 3 (소고기  닭가슴살) KIT, 핸드드립 아메리카노","21,000","18,000","21,000",0,0,"2,700",540,"6,000","1,000","5,000","2,727","3,000","5,427","3,813",381,"4,194",0,0,0,"13,806"
2021-07-06,2021-07-06 11:18,배달,CREDIT,1YVPR0,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), GO단백 닭가슴살 스테이크 KIT","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112",0,0,0,"11,388"
2021-07-06,2021-07-06 11:23,배달,CREDIT,1MRCR0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KITx2, OP CHOCO (ICE) 초코 프로틴","38,500","35,500","38,500",0,0,"5,325","1,065","6,000","1,000","5,000","2,727","3,000","8,052","4,338",434,"4,772",0,0,0,"30,728"
2021-07-06,2021-07-06 13:43,배달,CHECK,0LYT80,,다이어트랩,PAY,벌크업 소고기 스테이크 KIT,"19,500","16,500","19,500",0,0,"2,475",495,"6,000","1,000","5,000","2,727","3,000","5,202","3,768",377,"4,145",0,0,0,"12,355"
2021-07-06,2021-07-06 15:06,배달,CREDIT,2N20G0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, OP CHOCO (ICE) 초코 프로틴","24,500","21,500","24,500",0,0,"3,225",645,"6,000","1,000","5,000","2,727","3,000","5,952","3,918",392,"4,310",0,0,0,"17,190"
2021-07-06,2021-07-06 15:10,배달,CREDIT,19BV00,,다이어트랩,PAY,"REAL VEGETARIAN KIT (채식), REAL VEGETARIAN KIT (채식), 모듬 야채 100g, 브로콜리 50g","26,500","23,500","26,500",0,0,"3,525",705,"6,000","1,000","5,000","2,727","3,000","6,252","3,978",398,"4,376",0,0,0,"19,124"
2021-07-06,2021-07-06 16:06,배달,CHECK,1USTR0,,다이어트랩,PAY,"GO단백 닭가슴살 스테이크 KIT, GO단백 닭가슴살 소시지 KIT","18,500","15,500","18,500",0,0,"2,325",465,"6,000","1,000","5,000","2,727","3,000","5,052","3,738",374,"4,112",0,0,0,"11,388"
2021-07-06,2021-07-06 18:04,배달,BANK,1XXY00,,다이어트랩,PAY,"(3KIT 선택) 하루 세끼 다이어트 식단, 알감자 (140g), 브로콜리 50g, 애기당근 50g, 컬리플라워 50g","38,400","35,400","38,400",0,0,"5,310","1,062","6,000","1,000","5,000","2,727","3,000","8,037","4,335",433,"4,768",0,0,0,"30,632"
2021-07-06,2021-07-06 18:25,배달,CHECK,1J5A80,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"30,400","24,400","30,400",0,0,"3,660",732,"6,000","1,000","5,000","2,727","3,000","6,387","4,005",400,"4,405",0,0,0,"19,995"
2021-07-06,2021-07-06 22:19,배달,BANK,2D2LG0,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"31,900","25,900","31,900",0,0,"3,885",777,"6,000","1,000","5,000","2,727","3,000","6,612","4,050",405,"4,455",0,0,0,"21,445"
2021-07-07,2021-07-07 10:41,배달,BANK,27H600,,다이어트랩,PAY,"OP CHOCO (ICE) 초코 프로틴, 벌크업 소고기 스테이크 KIT","37,000","31,000","37,000",0,0,"4,650",930,"6,000","1,000","5,000","2,727","3,000","7,377","4,203",420,"4,623",0,0,0,"26,377"
2021-07-07,2021-07-07 12:15,배달,CREDIT,0JX600,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx2,"33,000","30,000","33,000",0,0,"4,500",900,"6,000","1,000","5,000","2,727","3,000","7,227","4,173",417,"4,590",0,0,0,"25,410"
2021-07-07,2021-07-07 13:02,배달,CREDIT,1BL9G0,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KIT,"35,000","29,000","35,000",0,0,"4,350",870,"6,000","1,000","5,000","2,727","3,000","7,077","4,143",414,"4,557",0,0,0,"24,443"
2021-07-07,2021-07-07 16:16,배달,CREDIT,0WH380,,다이어트랩,PAY,GO단백 닭가슴살 스테이크 KITx2,"33,000","30,000","33,000",0,0,"4,500",900,"6,000","1,000","5,000","2,727","3,000","7,227","4,173",417,"4,590",0,0,0,"25,410"
2021-07-07,2021-07-07 18:10,배달,CREDIT,1KJC00,,다이어트랩,PAY,(3KIT 선택) 하루 세끼 다이어트 식단,"26,900","23,900","26,900",0,0,"3,585",717,"6,000","1,000","5,000","2,727","3,000","6,312","3,990",399,"4,389",0,0,0,"19,511"
